directory name,author name,author email,date,curator name,curator email,release tag,commit message
v1.0,Me,me@example.com,09/16/1972 09:54:00,The Curation Team,l.bussi1@studenti.unipi.it,1.0,"First release|First commit description|and so on"
v1.1,Me,me@example.com,10/16/1972 09:14:00,The Curation Team,l.bussi1@studenti.unipi.it,1.1,"Second release|Second commit description|and so on"

Amaya-0-9, ?, ?, 14/11/1996 00:00:00, Mathilde Fichen, mathilde.fichen@inria.fr, Amaya-0-9
Amaya-0-9-5b, ?, ?, 09/01/1997 00:00:00, Mathilde Fichen, mathilde.fichen@inria.fr, Amaya-0-9-5b
Amaya-1-0, ?, ?, 03/04/1997 00:00:00, 
Amaya-1-0a, ?, ?, 07/05/1997 00:00:00, 
Amaya-1-1, ?, ?, 10/07/1997 00:00:00,
Amaya-1-1a, ?, ?, 15/09/1997 00:00:00,
Amaya-1-1c, ?, ?, 17/11/1997 00:00:00,
Amaya-1-2, ? ,? , 04/02/1998 00:00:00,
Amaya-1-2-a, ? ,? , 27/03/1998 00:00:00,
Amaya-1-3, ? ,? , 10/07/1998 00:00:00,
Amaya-1-3a, ? ,? , 25/09/1998 00:00:00,
Amaya-1-3b, ? ,? , 14/10/1998 00:00:00,
Amaya-1-4, ? ,? , 12/01/1999 00:00:00,
Amaya-1-4a, ? ,? , 12/01/1999 00:00:00,
Amaya-2-0, ?, ?, 03/05/1998 00:00:00,
Amaya-2-1, ?, ?, 24/01/1999 00:00:00,
Amaya-2-2, ?, ?, 26/10/1999 00:00:00,
Amaya-2-3, ?, ?, 16/12/1999 00:00:00,
Amaya-2-4, ?, ?, 17/12/1999 00:00:00,
Amaya-3-0, ?, ?, 31/03/2000 00:00:00,
Amaya-3-1, ?, ?, 19/04/2000 00:00:00,
Amaya-3-2, ?, ?, 04/07/2000 00:00:00, 
Amaya-3-2-1, ?, ?, 11/07/2000 00:00:00, 
Amaya-4-0-0, ?, ?, 10/11/2000 00:00:00, 
Amaya-4-1-0, ?, ?, 23/11/2000 00:00:00, 
Amaya-4-1-2, Website says 4.2 but no 4-1-2
Amaya-4-2,  ?, ?, 21/12/2000 00:00:00, Not on Github 
Amaya-4-2-1,  ?, ?, 22/12/2000 00:00:00, Not on Github 
Amaya-4-3, ?, ?, 28/02/2001 00:00:00
Amaya-4-3-1, ?, ?, 15/03/2001 00:00:00
Amaya-4-3-2, ?, ?, 23/03/2001 00:00:00
Amaya-5-0, ?, ?, 04/07/2001 00:00:00
Amaya-5-1, ?, ?, 11/07/2001 00:00:00
Amaya-5-2, ?, ?, 29/10/2001 00:00:00
Amaya-5-3, ?, ?, 18/12/2001 00:00:00
Amaya-6-0, ?, ?, 23/04/2002 00:00:00
Amaya-6-1, ?, ?, 29/04/2002 00:00:00
Amaya-6-2, ?, ?, 08/07/2002 00:00:00
Amaya-6-3, ?, ?, 09/09/2002 00:00:00
Amaya-6-4, ?, ?, 16/09/2002 00:00:00
Amaya-7-0, ?, ?, 03/12/2002 00:00:00
Amaya-7-1, ?, ?, 12/12/2002 00:00:00
Amaya-7-2, ?, ?, 03/02/2003 00:00:00
Amaya-8-0, ?, ?, 23/04/2003 00:00:00
Amaya-8-1, ?, ?, 08/07/2003 00:00:00
Amaya-8-1a, ?, ?, 10/07/2003 00:00:00, Not on Github
Amaya-8-1b, ?, ?, 04/09/2003 00:00:00
Amaya-8-2, ?, ?, 13/11/2003 00:00:00
Amaya-8-3, ?, ?, 05/03/2004 00:00:00
Amaya-8-4, ?, ?, 14/04/2004 00:00:00
Amaya-8-5, ?, ?, 27/04/2004 00:00:00
Amaya-8-6, ?, ?, 09/07/2004 00:00:00
Amaya-8-7, ?, ?, 21/10/2004 00:00:00
Amaya-8-7-1, ?, ?, 06/01/2005 00:00:00, Not on Github
Amaya-9-0, ?, ?, 06/01/2005 00:00:00, Not on Github
Amaya-8-7-2, ?, ?, 24/02/2005 00:00:00, Not on Github
Amaya-9-1, ?, ?, 24/02/2005 00:00:00, 
Amaya-9-2, Not on Website
Amaya-9-2-1, ?, ?, 12/07/2005 00:00:00,
Amaya-8-8-1, ?, ?, 12/07/2005 00:00:00, Not on Github
Amaya-9-3, ?, ?, 09/12/2005 00:00:00,
Amaya-8-8-3 ?, ?, 09/12/2005 00:00:00, Not on Github
Amaya-9-4, ?, ?, 10/02/2006 00:00:00,
Amaya-8-8-4, ?, ?, 10/02/2006 00:00:00, Not on Github
Amaya-9-5, ?, ?, 12/04/2006 00:00:00,
Amaya-9-51, ?, ?, 24/04/2006 00:00:00,
Amaya-8-8-51 ?, ?, 24/04/2006 00:00:00, Not on Github
Amaya-9-52, ?, ?, 18/10/2006 00:00:00,
Amaya-8-52, ?, ?, 18/10/2006 00:00:00, Not on Github
Amaya-9-53, ?, ?, 12/12/2006 00:00:00,
Amaya-9-53bis, Not on Website
Amaya-9-54, ?, ?, 13/02/2007 00:00:00,
Amaya-9-55, ?, ?, 10/07/2007 00:00:00,
Amaya-9-55-1, Not on website
Amaya-10-0, ?, ?, 26/02/2008 00:00:00,
Amaya-11-0, ?, ?, 16/12/2008 00:00:00,
Amaya-11-1, ?, ?, 30/01/2009 00:00:00,
Amaya-11-2, ?, ?, 03/07/2009 00:00:00,
Amaya-11-3, ?, ?, 02/12/2009 00:00:00,
Amaya-11-3-1, ?, ?, 09/12/2009 00:00:00,
Amaya-11-4-4, ?, ?, 18/01/2012 00:00:00, Not on github
Amaya-11-4-7, Not on Website
